#,Code,Description,"Ad status","Expires on",Reserved,Client,Channel,Office,"Updated at"
2014,Eid61,"20% off everything",Active,N/A,N/A,Elabelz,N/A,N/A,"2018-08-13 18:47:00"
2015,Eid66,"20% off everything",Active,N/A,N/A,Elabelz,Influencers,N/A,"2018-08-13 18:47:00"
2016,Eid21,"20% off everything",Active,N/A,N/A,Elabelz,Influencers,N/A,"2018-08-13 18:47:00"
2017,eid1,"5% on Gross Order, Any Customer, Multiple Usage (Sara Materials)",Active,N/A,N/A,Sprii,Others,N/A,"2018-08-13 16:57:30"
2018,eid6,"5% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sprii,Influencers,N/A,"2018-08-13 16:56:55"
2019,eid7,"5% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sprii,Influencers,N/A,"2018-08-13 16:56:55"
2020,eid8,"5% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sprii,Influencers,N/A,"2018-08-13 16:56:55"
2021,eid9,"5% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sprii,Influencers,N/A,"2018-08-13 16:56:55"
2022,eid10,"5% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sprii,Influencers,N/A,"2018-08-13 16:56:55"
2023,eid11,"5% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sprii,Influencers,N/A,"2018-08-13 16:56:55"
2024,eid12,"5% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sprii,Influencers,N/A,"2018-08-13 16:56:55"
